,Emotion,Sentence
0,Other,"ở ấn độ có người nhiễm cúm corona rồi đó, ko tẩu nhanh đến lúc nó cấm biên với cấm bay là ở đó luôn đó khoa, ai đi qua đá like hộ cái cho ổng đọc được"
1,Other,"10tr lượt view rồi, thời đến đỡ ko kịp"
2,Enjoyment,Ôi bình yên. K ai nghĩ 1 năm sau đại họa sảy ra. Những ng trong clip liêu ai còn ai mất. Thương quá
3,Other,"Số người 2021 xem lại vì nghe tin thảm họa covid ở Ấn Độ sau lễ hội tắm sông Hằng
👇👇👇"
4,Other,Ai vẫn còn xem điểm danh nào
5,Enjoyment,"Tấm lòng rất tốt, liên tục mua bánh phát gần hết. Làm phước sẽ được nhận lại phước đức. Mến lắm lun."
6,Other,Tôi đã xem cách đây một năm nay lại xem lại cầu mong thế giới bình an
7,Enjoyment,"Có ai như T k: thấy Ấn Độ thiêu nhiều vì covid
Quay lại xem video này luôn."
8,Fear,Cá nhân em hông biết là nước họ không có công việc để làm hay là họ làm biến  nữa 😑
9,Fear,Một đất nước cái gì cũng mong cầu vào thần thánh
10,Enjoyment,"Khi 1 chủ đề đang hot, video liên quan sẽ được youtube đề xuất mạnh"
11,Enjoyment,"Hết hồn tưởng ổng đến ấn độ mùa covid , nhìn xuống 1năm trước mới hiểu 😷😷😷"
12,Surprise,"Thik coi cảnh cuộc sống bên Ấn Độ ghê luôn á, hổm rài coi clip này cả chục lần mà hong chán
Cầu mong mọi người được bình an"
13,Surprise,Khoa Pug lúc này để tóc đtrai nè :(
14,Sadness,"Anh Khoa mua bánh phát cho những người ăn xin nghèo đói, hình ảnh rất ấn tượng. Dân tộc Việt Nam tự hào về anh !!!!"
15,Other,Người ta gọi là Ai Cập Cổ Đại không gì sai 🤣
16,Enjoyment,"Xem phim Ấn họ đóng ở sông Hằng thì thấy sạch và vắng vẻ ,thế mà xem thực tế ở đây thì thật là kinh khủng"
17,Other,"Cầu mong ấn độ qua được đại dịch này , dù là người dân o đâu cũng mong được bình an bên nguoi thân"
18,Other,Không biết ông chú hướng dẫn viên còn ổn không nữa :(
19,Enjoyment,"Phong cách dân dã , sang chảnh , kiểu gì cũng chơi được ! Năm mới may mắn , nhiều sức khoẻ nha Khoa và Camera man !"
20,Enjoyment,Lượt view lên chóng mặt kakakak... thời tới đỡ ko kịpppp
21,Fear,1năm về trc khá là yên bình còn bây h thì ...😓
22,Sadness,K hiểu sao m thích cái kiểu lắc đầu của họ. Lắc lư như thú nhún ý 🤣
23,Enjoyment,1 năm rùi không biết bây giờ a còn sống không cầu mong a bình an
24,Other,Có đứa nào đang coi thảm hoạ corona ấn độ xong bay vào đây để xem video này ko
25,Other,"Cái video này đăng gần 2 năm, các bạn cứ vô rồi nói người ta sao đang dịch mà đi qua Ấn Độ rồi không đeo khẩu trang rồi nào vô ý thức.... haizzz"
26,Enjoyment,"Cái video này làm trước khi có dịch bệnh mọi người ơi, đang bệnh cái YouTube đề xuất ngoi lên."
27,Enjoyment,8:30 cái chảo dầu đen xì xì:)chắc có lịch sử lâu đời đây mà
28,Fear,Tại sao đa số những người anh Khoa cho đồ ăn họ hầu như không nói lời cảm ơn và thậm chí còn không nhìn mặt anh vậy? Rất ít người mình thấy như vậy
29,Enjoyment,"Xem rồi mới biết...
Yêu Việt Nam quá đi,mình thật may mắn khi sinh ra trên đất nước xinh đẹp này ❤"
30,Sadness,Mới được đề xuất xem lun. YouTube hay ghê 😷
31,Enjoyment,Cảm ơn bố mẹ đã sinh con ra ở VN
32,Enjoyment,Xem xong video mình cảm thấy may mắn hơn rất nhiều số phận. Có động lực hơn.
33,Other,sau một năm nơi này đã trở thành ổ dịch
34,Enjoyment,"Cám ơn Khoa và Cameraman đã không ngại khổ mà mang lại cho mọi người những thước phim chân thật hơn bao giờ hết! Có lẽ đây là điều mà ít Youtuber khác cho mọi người thấy (kể cả youtuber nước ngoài)! 
Có lẽ Ấn Độ sẽ không nằm trong danh sách những nước mà mình muốn tới :("
35,Fear,Mấy người mà khoa bug cho bánh ăn..Hôm nay giờ phút này chắc trong số đó cũng ra đi hết phân nữa vì covid rồi quá.. tội nghiệp quá
36,Sadness,"mình đã xem 1 năm,giờ xem lại.Cầu mong dịch bệnh ở Ấn Độ sẽ đi qua"
37,Other,đến đoạn phát bánh cho người nghèo là đăng kí với like ngay luôn!!!
38,Enjoyment,"Hi dude, thanks for sharing 😁"
39,Other,"Người ta có tiền thì đi du lịch,  còn tôi du lịch bằng mắt,  cám ơn khoapug đã cho các video hay 
👇 , ai giống mình"
40,Sadness,Video nầy hơn 1 năm rồi nhé ae anh em ko nên hoang mang
41,Enjoyment,"Thấy tình hình Ấn Độ, nghĩ ngay tới video này của Khoa, thấy thật may khi em nó ko còn đang ở AĐ, chúc em nhiều sức khỏe để làm nhiều video hay nha, đi nhiều nơi nhớ cẩn thận giữ sk!"
42,Enjoyment,1 năm rồi 2021 nơi này tan thương quá 😢
43,Sadness,ĐÂY LÀ MỘT VIDEO NÓI VỀ TIÊN TRI SAO ??
44,Enjoyment,Những thứ tốt đẹp anh làm báo chí nó chẳng gọi tên vậy mà những khi có biến nó lại lấy cớ đạp xuống
45,Enjoyment,đúng lúc đang dịch :))
46,Sadness,"Hôm nay mới được xem mà không biết video cả năm trước 
Anh rất tốt bụng"
47,Other,Tự nhiên đề xuất luôn :v
48,Enjoyment,"Đau lòng quá, Ấn Độ lại thêm 1 năm nữa 😔"
49,Enjoyment,Phút 5:00 tui bức xúc thiệt chứ ổng không chịu thồi tiền mà còn liên miệng nói luyên thuyên nữa chớ 🙄🙄. Cũng may có cameraman 😁😁
50,Other,Cái này 1 năm về trước mà mấy bác vào kêu đeo khẩu trang😅
51,Fear,Mong đất nước ấn Độ sớm thoát khỏi đại dịch cov giờ chắc là nhiều người trong video cũng khó mà nói trước được điều gì đến khổ
52,Sadness,Shocked khi xem tên video ở thời điểm này cho đến khi xem thời điểm ra video
53,Anger,Lâu r s h tự động đề xuất
54,Other,12:59 ông này là người duy nhất có vẻ cảm tạ nhất
55,Other,Chỉ có người Việt mới có hành động tuyệt vời này thôi cảm ơn bạn
56,Enjoyment,Có ai bây h mới xem vd này giống t ko:))
57,Other,Mỗi khi nghĩ tới India tôi chỉ liên tưởng hai từ BLack Hole.
58,Enjoyment,Ấn Độ bùng dịch cái quỷ youtube đề xuất vid này :D
59,Other,Anh đi nhớ bịch khẩu trang like lên top để ảnh thấy
60,Other,"ổng thuyết giảng xong rồi ổng chết =]]. VL, ông làm hướng dẫn viên du lịch vầy là chết rồi. :v :v"
61,Surprise,H t mới coi kêu ủ dịch ấn độ mà qua k đeo kt nhìn lại 1 nam trc :((
62,Surprise,Đất nước nổi tiếng của những vụ hiếp dâm tập thể đó a ơi ... a chị cẩn thận nhé☺️
63,Other,"Qua nay ấn độ toang tự nhiên cái clip này trôi lên, thế mới thấy ấn nó người chi chít"
64,Sadness,Người ta đi review du lịch đi những nơi cao sang nếu đi tìm hiểu thì chỉ sơ sơ cuộc sống đời thường của ng dân còn ông Khoa lặn lội vô cả chỗ thiêu xác. Kênh youtube đầu tiên ở VN mà mình thấy có tâm đến vậy xem mà hồi hộp dùm cho anh và chị cameraman.  Cảm ơn anh thiệt sự đó giờ xem phim Ấn nghe nói sông Hằng rửa tội mà không biết ra sao nay thì biết rồi biết thêm chỗ hồi xưa Phật thuyết giảng nữa.  Quá là ok luôn ạ.
65,Enjoyment,Anh qua ấn độ review tiếp đi anh😂😂😂
66,Enjoyment,"Thời mạc pháp ở ấn độ, và bây h ấn độ   như vậy hic
Mong mọi ng có thể bình an"
67,Sadness,video di.ch covit mười chín tại ấn độ đã đề xuất video này rất mạnh. mong thế giới luôn bình an.
68,Other,"Mới xem đại dịch Ấn Độ thấy clip,không biết những người trong clip năm ngoái còn sống hay đã đã chết"
69,Other,"Tr ổng phát còn quài nên quyết địhj mua tiếp lần 2 và lại hết ổng lại mua thêm 2 túi nữa, chời ạ!! Thương dễ sợ.
Còn nữa chắc ổng mua hết sạp bánh quá?!!😅😅😅🔥"
70,Surprise,Video đc đề xuất nhiều nhất
71,Surprise,Uầy k hiểu đi từ bh như kiểu đoán trc ý ạ @@
72,Enjoyment,Quá nhiều ng khổ.. Nguời Việt Mình là thế đó đi đâu cũng giúp nguời.
73,Other,"Ui tự nhiên hôm nay Youtube đề xuất cái video này ạ, giật cả mình tưởng anh qua Ấn Độ vào thời điểm kinh khủng này chứ. Bên đó căng quá rồi một ngày mấy trăm ngàn người nhiễm mấy ngàn người chết thì sao đất nước họ chịu nổi, giờ chỉ còn đợi phép màu hic :("
74,Other,đang lướt mà thấy nó được đề xuất
75,Enjoyment,E mê ấn độ lắm a oi
76,Other,Cảm thấy bình yên khi ở Việt Nam 🇻🇳🇻🇳
77,Other,May mắn nhất là đc sinh ra lớn lên làm việc ở đất nc Việt Nam
78,Disgust,"Xem xong tôi thấy tổ quốc ta vẫn tuyệt vời,  rất hạnh phúc khi là con người việt nam"
79,Sadness,Khoa pug với cameraman thử nhảy xuống sông Hẳng tắm mới đúng review chứ =))
80,Other,Về vietnam mang theo covid 19 nhé a
81,Anger,Khoa mua bánh phát cho người nghèo. Thật sự tốt quá. Vừa có tiền lại vừa có tâm 😍
82,Enjoyment,Giờ xem mới hiểu tsao dịch ở đây bùng phát k khống chế nổi
83,Enjoyment,Tự nhiên đang xem tin tức bị đề xuất video ghê quá
84,Other,Năm nay a đi thì sẽ đc thấy nhiều hơn
85,Sadness,Tự dưng đề xuất làm tôi tưởng Khoa đang ở Ấn Độ
86,Surprise,Năm nay a có qua đó xem hỏa thêu ko?
87,Fear,Những số phận khổ quá.xem xong tự dưng rớt nước mắt
88,Sadness,Xem xong cái clip này mình lại thấy đất nước Việt Nam mình tươi đẹp và là nơi đáng sống nhất các bạn ạ! 🤗🤗🤗
89,Enjoyment,2021  ấn độ  rip rất nhiều vì corona 🙏🙏🙏
90,Enjoyment,Huhu đeo khẩu trang và mang đc sát khuẩn theo chứ   a ưi
91,Enjoyment,Khoa PUG dự đoán tương lai hay sao 😢
92,Enjoyment,Dạo này a gầy nhi😊 a ko đeo khẩu trang a
93,Other,"Khoa pug và caramen can đảm quá đất nước nguy hiểm,ô nhiễm toàn tập luôn. Mà cũng cố gắn rì wieu cho mọi người xem 👍"
94,Other,May là anh Khoa đi từ năm ngoái. Chứ giờ bên đó dịch nguy hiểm lắm.
95,Surprise,"Mé, bíp còi muốn banh cái lỗ tai luôn @@"
